"eu_rnpa","economic_unit","vessel_rnpa","vessel_name","owner_rnpa","owner_name","hull_identifier","target_species","finfish","sardine","shark","shrimp","tuna","others","state","home_port","construction_year","hull_material","preservation_system","gear_type","detection_gear","vessel_type","vessel_length_m","vessel_beam_m","vessel_height_m","vessel_draft_m","vessel_gross_tonnage","captain_num","engineer_num","s_fisher_num","fisher_num","sfc_gr_kwh","engine_power_hp","engine_power_kw","imputed_engine_power","engine_power_bin_hp","design_speed_kt","brand","model","fuel_type","fleet"
"2508005846","PESQUERA 15 DE SEPTIEMBRE, SA DE CV","00015958","CHUBASCO","2508005846","PESQUERA 15 DE SEPTIEMBRE, SA DE CV","2503043023-6","CAMARÓN",0,0,0,1,0,0,"SINALOA","MAZATLAN",1958,"ACERO","CONGELACIÓN | SALMUERA","ARRASTRE","VIDEOSONDA","COMERCIAL",20.12,5.5,2.53,0,3.5,1,1,2,3,220,287,214.0159,FALSE,275,10.7368606033469,"CATERPILLAR","D3408","Diesel","large scale"
"0705002988","DISTRIBUIDORA DE MARISCOS DEL SUR SA DE CV","00012450","PROPEMEX SC-39","0705002988","DISTRIBUIDORA DE MARISCOS DEL SUR SA DE CV","20030094234","CAMARÓN",0,0,0,1,0,0,"CHIAPAS","SALINA CRUZ",1972,"ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL",22,6,0,2,0,1,1,0,1,220,220,164.054,FALSE,200,10.6776315833374,"CATERPILLAR","0","Diesel","large scale"
"2508006166","PESQUERA VIRGEN DE LORETO, SA DE CV","00015818","TRITON","2508006166","PESQUERA VIRGEN DE LORETO, SA DE CV","2503022823-8","CAMARÓN",0,0,0,1,0,0,"SINALOA","MAZATLAN",1962,"ACERO","REFRIGERACIÓN | SALMUERA","ARRASTRE","VIDEOSONDA","COMERCIAL",18.7,5.4,2.1,3,27.44,1,1,0,5,220,240,178.968,FALSE,225,10.6953319597217,"CATERPILLAR","D-342","Diesel","large scale"
"2508008444","PESQUERA DAVID´S SA DE CV","00018101","DAVID´S","2508008444","PESQUERA DAVID´S SA DE CV","2503044123-7","CAMARÓN",0,0,0,1,0,0,"SINALOA","MAZATLAN",1980,"ACERO","CONGELACIÓN | SALMUERA","ARRASTRE","VIDEOSONDA","COMERCIAL",21.94,6.4,3.75,0,48,1,2,0,5,220,385,287.0945,FALSE,375,10.8231488158486,"CATERPILLAR","D-353","Diesel","large scale"
"2508005879","PESQUERA JALILI, SA DE CV","00014514","MAZATLECO","2508005879","PESQUERA JALILI, SA DE CV","2503051823-3","CAMARÓN",0,0,0,1,0,0,"SINALOA","MAZATLAN",1960,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",20.12,5.5,2.53,0,77.46,1,1,0,6,220,220,164.054,FALSE,200,10.6776315833374,"CATERPILLAR","D343","Diesel","large scale"
"2508005879","PESQUERA JALILI, SA DE CV","00014480","GOLFO DE CALIFORNIA","2508005879","PESQUERA JALILI, SA DE CV","2503052423-5","CAMARÓN | TIBURÓN",0,0,1,1,0,0,"SINALOA","MAZATLAN",1963,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",22.1,4.2,3.4,0,64.97,1,1,0,6,220,380,283.366,FALSE,375,10.8187562852135,"CATERPILLAR","D-353","Diesel","large scale"
"2508006778","PESQUERA JUSAJELI, SA DE CV","00014324","PEZ DE ACERO I (PUNTA MALDONADO)","2508006778","PESQUERA JUSAJELI, SA DE CV","2503068523-8","CAMARÓN | ESCAMA",1,0,0,1,0,0,"SINALOA","MAZATLAN",1961,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",20.12,5.5,1.53,2.4,39.6,1,1,2,2,220,240,178.968,FALSE,225,10.6953319597217,"CATERPILLAR","D342","Diesel","large scale"
"2508006778","PESQUERA JUSAJELI, SA DE CV","00014894","DAVID C","2508006778","PESQUERA JUSAJELI, SA DE CV","2503199023-8","CAMARÓN",0,0,0,1,0,0,"SINALOA","MAZATLAN",1982,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",20.17,5.48,2.26,2.4,30.6,1,1,2,2,220,220,164.054,FALSE,200,10.6776315833374,"CATERPILLAR","D342","Diesel","large scale"
"3011012345","COMPAÑIA PESQUERA MEXICANA SA DE CV","00043208","TABASCO 593","3011012345","COMPAÑIA PESQUERA MEXICANA SA DE CV","30020913236","CAMARÓN",0,0,0,1,0,0,"VERACRUZ","VERACRUZ",1984,"ACERO","CONGELACIÓN","ARRASTRE","ECOSONDA | VIDEOSONDA","COMERCIAL",17.8,5.7,2.87,3,0,1,1,0,1,220,220,164.054,FALSE,200,10.6776315833374,"CATERPILLAR","0","Diesel","large scale"
"2508006786","PESQUERA BAHIA DE MATANCHEN SA DE CV","00011429","DONNIE LEE","2508006786","PESQUERA BAHIA DE MATANCHEN SA DE CV","25030435235","CAMARÓN",0,0,0,1,0,0,"SINALOA","MAZATLAN",1972,"ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL",20.21,5.5,2.03,0,0,1,1,1,4,220,220,164.054,FALSE,200,10.6776315833374,"CATERPILLAR",NA,"Diesel","large scale"
